Feature ID	Taxon	Confidence
e4d69cf9e48d82edd75f3ab506a4adce	D_0__Bacteria;D_1__Firmicutes;D_2__Negativicutes;D_3__Selenomonadales;D_4__Veillonellaceae;D_5__Selenomonas;D_6__uncultured bacterium	0.9999864526468297
4c666ad16adb7ccbb7af3542855c9216	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Moraxellaceae;D_5__Acinetobacter	0.9999994211820924
0199c01976b8869c011791d57b5ad4b5	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__GCA-900066225;D_6__uncultured bacterium	0.8979131570663261
480964c9dc18b7101545d6009fb2644e	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Xanthobacteraceae;D_5__uncultured	0.9831767554731313
9dddfd931a4b15c05a579c7077190953	D_0__Bacteria;D_1__FBP;D_2__uncultured bacterium;D_3__uncultured bacterium;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium	0.9759278229082793
81399ca0eca71765227348485925f9a2	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Spirosomaceae;D_5__Spirosoma;D_6__uncultured bacterium	0.999354913491002
031c62e9be0ba2a59d065c3b7a187c86	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae	0.9970656863267751
a323a584257aabd795bad9286eccb511	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae;D_5__uncultured;D_6__bacterium endosymbiont of Onthophagus Taurus	0.9881144298630972
a39e90c68238399edbf517a5ffb63d95	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Moraxellaceae;D_5__Acinetobacter;D_6__metagenome	0.729928445692713
85352384cad3e49f44800be3ff8bdc2e	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Christensenellaceae;D_5__Christensenellaceae R-7 group;D_6__uncultured bacterium	0.9822404976288209
a1215f2d6c1d2480be9b23761d24e9ae	D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast;D_4__Xylochloris irregularis;D_5__Xylochloris irregularis;D_6__Xylochloris irregularis	0.9999776462615348
aa9ff2fc6604d0cb5fadd7837a525a42	D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Nostocales;D_4__Xenococcaceae;D_5__Pleurocapsa PCC-7319;D_6__uncultured cyanobacterium	0.8622636966487411
66d58675689b58df48ec562975fe3e49	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Peptostreptococcaceae;D_5__Terrisporobacter;D_6__uncultured bacterium	0.9978193502751379
457cfe2e2d1e22f80f95285038078043	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Xanthomonadales;D_4__Xanthomonadaceae;D_5__Thermomonas;D_6__uncultured bacterium	0.8897380752135939
9adb5f8bbad22dc500d8f22dc5d6b686	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__Flavobacterium	0.9989418097509635
5e4e83c2c35f3febb6c4b8529ac4f51c	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__[Eubacterium] coprostanoligenes group;D_6__uncultured bacterium	0.9872840204489937
e4a17343a3c23ff2f2cce192a126a11d	D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Verrucomicrobiales;D_4__Rubritaleaceae;D_5__Luteolibacter;D_6__uncultured bacterium	0.9707816726926978
6508c8fcc6e6fc2340bd2c0157c928b4	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Ruminococcus 2;D_6__uncultured bacterium	0.9819878610030619
a9ab1ac4c7d6defba374215a0244ce61	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Acetobacterales;D_4__Acetobacteraceae	0.9691116614101964
f528cc76bc807fb5ce71fbf5bbf5a271	D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Verrucomicrobiales;D_4__Akkermansiaceae;D_5__Akkermansia;D_6__uncultured bacterium	0.9999993329701149
4119408b02e1a702187aa104f27cc9a7	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Dysgonomonadaceae;D_5__Dysgonomonas;D_6__uncultured bacterium	0.9138214654800948
ec2d689a99275bbde26bb5149b515ce5	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Moraxellaceae;D_5__Acinetobacter;D_6__Acinetobacter lwoffii	0.9835619185105007
